username,authorid,created,text,retwc,followers,friends,polarity,subjectivity
Di,9.14E+17,3/14/2018 18:40,"RT @RealSaavedra: Number of murder victims in the U.S. by weapon in 2016:

Knives or cutting instruments: 1,604
Hands/Fists/Feet: 656
HammeÉ??",121,81,50,-0.6,0.9
É??,1898796182,3/14/2018 18:41,"RT @jiyongal: BIGBANGs biggest weapon is their music. When people constantly doubt, hate, and write 10 articles if they grow out a beard, BÉ??",168,482,238,-0.4,0.616666667
HissingSid #FBPE,15993845,3/14/2018 18:41,"RT @EmmaKennedy: When a weapon grade chemical weapon has been deployed on British soil, I canÉ??t tell you how depressing it is for me to seeÉ??",29,590,1777,-0.3,0.45
Trevor Cooper,2328772055,3/14/2018 18:40,"RT @EmmaKennedy: When a weapon grade chemical weapon has been deployed on British soil, I canÉ??t tell you how depressing it is for me to seeÉ??",29,1497,845,-0.3,0.45
Bill Morris,418557785,3/14/2018 18:40,The #salisbury assassin could have killed #Skripal with an untraceable weapon but chose a nerve agent that was direÉ?? https://t.co/b19ONSV73Q,0,85,32,-0.25,0.35
barloub rajae,398978227,3/14/2018 18:40,"RT @SAmarKh84584900: Who has a wink
In both cheeks. . He has a deadly weapon when he smiles
@iamsrk #SuhanaKhan ???ç https://t.co/hLdDDrZEmC",7,678,920,-0.2,0.4
Michael Gillespie,2892641745,3/14/2018 18:40,"@Samantha4401 @maayur1 @lamfam_20 At the end of the day, no laws apply in the black market. So a change in laws wilÉ?? https://t.co/5xDMx36aXr",0,986,747,-0.166666667,0.433333333
stop,459954499,3/14/2018 18:41,RT @BillMorris9: The #salisbury assassin could have killed #Skripal with  an untraceable weapon but chose a nerve agent that was directly tÉ??,3,162,1875,-0.133333333,0.366666667
KING JAMES RAPUNXEL,1575643604,3/14/2018 18:41,@piersmorgan i'm not british but i hear Corbyn is an extremist with links to shady people...why dont the brits unleÉ?? https://t.co/dDADanEPiN,0,895,1847,-0.125,0.3125
Dannyjo,8.80E+17,3/14/2018 18:40,@theresa_may When a foreign power unleashes a chemical weapon on UK soil which affects UK citizens (as you allege)É?? https://t.co/OGdJ0H8VHS,0,29,62,-0.125,0.125
CrazyCommonSense,1365480481,3/14/2018 18:40,"RT @KyrrdisGlow: We need #GunSenseNow. The AR-15 inventor's family: This was meant to be a military weapon. ""Our father, Eugene Stoner, desÉ??",69,608,419,-0.1,0.1
geek writer,64443700,3/14/2018 18:40,I stand with these young leaders. I will march with them on March 24 in Tucson. School is tough enough without worrÉ?? https://t.co/RPMIaocGil,0,36,69,-0.096296296,0.577777778
Deadpool,8.03E+17,3/14/2018 18:41,"The red and black clad sexy as fuck, 12 inch long (Thank you Weapon X), blond hot as hell fucking stud, the merc wiÉ?? https://t.co/QcE7mEniNf",0,246,271,-0.066666667,0.583333333
